campus_id,campus_name,building_id,year,month,total_kw_consumed,total_gas_consumed,total_water_consumed,scope_1_emissions,scope_2_emissions,total_emissions,category,gross_floor_area,carbon_intensity
1,Bundoora,1,2019.0,3.0,45.24,0.0,0.0,0.0,0.02,0.02,other,,0.0
1,Bundoora,1,2019.0,4.0,841.68,0.0,0.0,0.0,0.34,0.34,other,,0.0
1,Bundoora,1,2019.0,5.0,1014.95,0.0,0.0,0.0,0.41,0.41,other,,0.0
1,Bundoora,1,2019.0,6.0,1318.46,0.0,0.0,0.0,0.53,0.53,other,,0.0
1,Bundoora,1,2019.0,7.0,1348.28,0.0,0.0,0.0,0.54,0.54,other,,0.0
1,Bundoora,1,2019.0,8.0,1201.88,0.0,0.0,0.0,0.48,0.48,other,,0.0
1,Bundoora,1,2019.0,9.0,963.01,0.0,0.0,0.0,0.39,0.39,other,,0.0
1,Bundoora,1,2019.0,10.0,735.79,0.0,0.0,0.0,0.29,0.29,other,,0.0
1,Bundoora,1,2019.0,11.0,562.73,0.0,0.0,0.0,0.23,0.23,other,,0.0
1,Bundoora,1,2019.0,12.0,507.21,0.0,0.0,0.0,0.2,0.2,other,,0.0
1,Bundoora,1,2020.0,1.0,521.63,0.0,0.0,0.0,0.21,0.21,other,,0.0
1,Bundoora,1,2020.0,2.0,502.46,0.0,0.0,0.0,0.2,0.2,other,,0.0
1,Bundoora,1,2020.0,3.0,492.13,0.0,0.0,0.0,0.2,0.2,other,,0.0
1,Bundoora,1,2020.0,4.0,428.79,0.0,0.0,0.0,0.17,0.17,other,,0.0
1,Bundoora,1,2020.0,5.0,842.38,0.0,0.0,0.0,0.34,0.34,other,,0.0
1,Bundoora,1,2020.0,6.0,897.45,0.0,0.0,0.0,0.36,0.36,other,,0.0
1,Bundoora,1,2020.0,7.0,898.19,0.0,0.0,0.0,0.36,0.36,other,,0.0
1,Bundoora,1,2020.0,8.0,899.9,0.0,0.0,0.0,0.36,0.36,other,,0.0
1,Bundoora,1,2020.0,9.0,784.91,0.0,0.0,0.0,0.31,0.31,other,,0.0
1,Bundoora,1,2020.0,10.0,706.83,0.0,0.0,0.0,0.28,0.28,other,,0.0
1,Bundoora,1,2020.0,11.0,663.16,0.0,0.0,0.0,0.27,0.27,other,,0.0
