date,total_emissions,data_state,year,month
2018-01-01,833.22,Historical,2018,1
2018-02-01,838.8,Historical,2018,2
2018-03-01,934.0699999999999,Historical,2018,3
2018-04-01,873.0799999999999,Historical,2018,4
2018-05-01,1037.21,Historical,2018,5
2018-06-01,1004.42,Historical,2018,6
2018-07-01,1045.49,Historical,2018,7
2018-08-01,1072.31,Historical,2018,8
2018-09-01,1022.18,Historical,2018,9
2018-10-01,1067.67,Historical,2018,10
2018-11-01,990.87,Historical,2018,11
2018-12-01,934.15,Historical,2018,12
2019-01-01,1015.03,Historical,2019,1
2019-02-01,1010.4399999999999,Historical,2019,2
2019-03-01,1131.05,Historical,2019,3
2019-04-01,1074.87,Historical,2019,4
2019-05-01,1156.07,Historical,2019,5
2019-06-01,1074.36,Historical,2019,6
2019-07-01,1083.1299999999999,Historical,2019,7
2019-08-01,1071.56,Historical,2019,8
2019-09-01,1035.17,Historical,2019,9
2019-10-01,1046.2,Historical,2019,10
2019-11-01,991.23,Historical,2019,11
2019-12-01,935.31,Historical,2019,12
2020-01-01,938.53,Historical,2020,1
2020-02-01,931.28,Historical,2020,2
2020-03-01,928.16,Historical,2020,3
2020-04-01,623.99,Historical,2020,4
2020-05-01,639.04,Historical,2020,5
2020-06-01,651.49,Historical,2020,6
2020-07-01,655.47,Historical,2020,7
2020-08-01,677.14,Historical,2020,8
2020-09-01,616.6,Historical,2020,9
2020-10-01,698.33,Historical,2020,10
2020-11-01,734.84,Historical,2020,11
2020-12-01,725.66,Historical,2020,12
2021-01-01,766.5,Historical,2021,1
2021-02-01,744.8000000000001,Historical,2021,2
2021-03-01,806.3,Historical,2021,3
2021-04-01,808.17,Historical,2021,4
2021-05-01,849.22,Historical,2021,5
2021-06-01,740.92,Historical,2021,6
2021-07-01,785.88,Historical,2021,7
2021-08-01,797.65,Historical,2021,8
2021-09-01,760.39,Historical,2021,9
2021-10-01,755.29,Historical,2021,10
2021-11-01,697.17,Historical,2021,11
2021-12-01,698.09,Historical,2021,12
2022-01-01,684.26,Historical,2022,1
2022-02-01,639.62,Historical,2022,2
2022-03-01,675.62,Historical,2022,3
2022-04-01,677.51,Historical,2022,4
2022-05-01,752.8664156541449,Forecast,2022,5
2022-06-01,700.2778776380411,Forecast,2022,6
2022-07-01,724.9849846508615,Forecast,2022,7
2022-08-01,737.1693143436363,Forecast,2022,8
2022-09-01,691.0914307757834,Forecast,2022,9
2022-10-01,724.3750872513108,Forecast,2022,10
2022-11-01,686.0328663486863,Forecast,2022,11
2022-12-01,655.8114558775831,Forecast,2022,12
2023-01-01,683.5834086988646,Forecast,2023,1
2023-02-01,669.0526387283421,Forecast,2023,2
2023-03-01,731.094736002348,Forecast,2023,3
2023-04-01,647.5616334398939,Forecast,2023,4
2023-05-01,722.9180503669422,Forecast,2023,5
2023-06-01,670.3295123508384,Forecast,2023,6
2023-07-01,695.0366193636588,Forecast,2023,7
2023-08-01,707.2209490564336,Forecast,2023,8
2023-09-01,661.1430654885806,Forecast,2023,9
2023-10-01,694.4267219641082,Forecast,2023,10
2023-11-01,656.0845010614836,Forecast,2023,11
2023-12-01,625.8630905903805,Forecast,2023,12
2024-01-01,653.635043411662,Forecast,2024,1
2024-02-01,639.1042734411395,Forecast,2024,2
2024-03-01,701.1463707151454,Forecast,2024,3
2024-04-01,617.6132681526913,Forecast,2024,4
2024-05-01,692.9696850797396,Forecast,2024,5
2024-06-01,640.3811470636358,Forecast,2024,6
2024-07-01,665.0882540764562,Forecast,2024,7
2024-08-01,677.272583769231,Forecast,2024,8
2024-09-01,631.194700201378,Forecast,2024,9
2024-10-01,664.4783566769055,Forecast,2024,10
2024-11-01,626.136135774281,Forecast,2024,11
2024-12-01,595.9147253031778,Forecast,2024,12
2025-01-01,623.6866781244593,Forecast,2025,1
2025-02-01,609.1559081539368,Forecast,2025,2
2025-03-01,671.1980054279427,Forecast,2025,3
2025-04-01,587.6649028654886,Forecast,2025,4
2025-05-01,663.0213197925369,Forecast,2025,5
2025-06-01,610.4327817764331,Forecast,2025,6
2025-07-01,635.1398887892535,Forecast,2025,7
2025-08-01,647.3242184820283,Forecast,2025,8
2025-09-01,601.2463349141753,Forecast,2025,9
2025-10-01,634.5299913897028,Forecast,2025,10
2025-11-01,596.1877704870783,Forecast,2025,11
2025-12-01,565.966360015975,Forecast,2025,12
2026-01-01,593.7383128372566,Forecast,2026,1
2026-02-01,579.2075428667341,Forecast,2026,2
2026-03-01,641.24964014074,Forecast,2026,3
2026-04-01,557.7165375782859,Forecast,2026,4
2026-05-01,633.0729545053342,Forecast,2026,5
2026-06-01,580.4844164892304,Forecast,2026,6
2026-07-01,605.1915235020508,Forecast,2026,7
2026-08-01,617.3758531948256,Forecast,2026,8
2026-09-01,571.2979696269728,Forecast,2026,9
2026-10-01,604.5816261025001,Forecast,2026,10
2026-11-01,566.2394051998757,Forecast,2026,11
2026-12-01,536.0179947287724,Forecast,2026,12
2027-01-01,563.789947550054,Forecast,2027,1
2027-02-01,549.2591775795314,Forecast,2027,2
2027-03-01,611.3012748535374,Forecast,2027,3
2027-04-01,527.7681722910833,Forecast,2027,4
2027-05-01,603.1245892181316,Forecast,2027,5
2027-06-01,550.5360512020278,Forecast,2027,6
2027-07-01,575.2431582148482,Forecast,2027,7
2027-08-01,587.427487907623,Forecast,2027,8
2027-09-01,541.34960433977,Forecast,2027,9
2027-10-01,574.6332608152975,Forecast,2027,10
2027-11-01,536.291039912673,Forecast,2027,11
2027-12-01,506.0696294415697,Forecast,2027,12
2028-01-01,533.8415822628513,Forecast,2028,1
2028-02-01,519.3108122923288,Forecast,2028,2
2028-03-01,581.3529095663347,Forecast,2028,3
2028-04-01,497.8198070038805,Forecast,2028,4
2028-05-01,573.1762239309289,Forecast,2028,5
2028-06-01,520.5876859148251,Forecast,2028,6
2028-07-01,545.2947929276455,Forecast,2028,7
2028-08-01,557.4791226204203,Forecast,2028,8
2028-09-01,511.40123905256735,Forecast,2028,9
2028-10-01,544.6848955280948,Forecast,2028,10
2028-11-01,506.3426746254703,Forecast,2028,11
2028-12-01,476.121264154367,Forecast,2028,12
2029-01-01,503.8932169756486,Forecast,2029,1
2029-02-01,489.3624470051261,Forecast,2029,2
2029-03-01,551.404544279132,Forecast,2029,3
2029-04-01,467.8714417166778,Forecast,2029,4
2029-05-01,543.2278586437262,Forecast,2029,5
2029-06-01,490.63932062762245,Forecast,2029,6
2029-07-01,515.3464276404429,Forecast,2029,7
2029-08-01,527.5307573332177,Forecast,2029,8
2029-09-01,481.4528737653647,Forecast,2029,9
2029-10-01,514.7365302408921,Forecast,2029,10
2029-11-01,476.3943093382677,Forecast,2029,11
2029-12-01,446.17289886716435,Forecast,2029,12
2030-01-01,473.94485168844597,Forecast,2030,1
2030-02-01,459.41408171792347,Forecast,2030,2
2030-03-01,521.4561789919294,Forecast,2030,3
2030-04-01,437.92307642947515,Forecast,2030,4
2030-05-01,513.2794933565236,Forecast,2030,5
2030-06-01,460.69095534041986,Forecast,2030,6
2030-07-01,485.3980623532402,Forecast,2030,7
2030-08-01,497.58239204601506,Forecast,2030,8
2030-09-01,451.50450847816205,Forecast,2030,9
2030-10-01,484.78816495368943,Forecast,2030,10
2030-11-01,446.445944051065,Forecast,2030,11
2030-12-01,416.2245335799617,Forecast,2030,12
